pdb_id,bmrb_ids
1pjf,5877
1plw,5915
1plx,5914
1pon,3118
1pp5,5859
1pqr,5869
1psb,5838
1pv0,5847
1pvz,5865
1pxq,5860
1q10,5875
1q2f,5911
1q2i,5911
1q2j,5881
1q2n,4023;5656
1q5w,5669
1q68,5944
1q69,5944;5945
1q7o,5934
1q9b,6123
1qa4,4950
1qa5,4951
1qbf,4842
1qey,4355
1qfa,4398
1qfb,4406
1qfd,4404;4490
1qgm,4351
1qhk,4424
1qk7,4410
1qky,4427
1qlo,4557
1qmw,4503
1qp6,4347
1qtg,4540
1quz,4541
1qvk,6041
1qvl,6041
1qx9,5938;5941
1qxq,5938;5941
1r02,5994
1r2a,4473
1r48,5972
1r7c,5978
1r7d,5978
1r7e,5978
1r7f,5978
1r7g,5978
1r8u,5987
1r9i,6027
1r9v,6039
1rcs,441
1rg3,6040
1rg4,6040
1rgj,5988
1rgo,6005
1rij,6088
1rik,6064
1rim,6063
1rji,6037
1rkj,4867
1rkk,6020
1rkl,6056
1rmk,6135
1ru5,6068
1ruu,6068
1rwd,5926
1ryg,6067
1ryv,6066
1s1o,6101
1s40,5232
1s4a,6105
1s4h,6107
1s4j,6106
1s4t,6083
1s5q,4635
1s5r,4635
1s6w,6085
1s8k,6109
1sb0,6095
1scy,408
1sf1,1344
1sh1,1049
1shi,275
1sjt,1344
1sju,1344
1ski,6170
1skk,6169
1skl,6168
1smz,6151
1sop,6200
1sp7,6200
1spw,6263
1srb,1811
1srk,6216
1ss3,6139
1ssl,6165
1ssu,6160
1suy,5824
1sv1,5824
1sx0,6191
1sx1,6191
1sy9,5480
1t0c,6623
1t0w,6123
1t1k,1344;6204
1t1p,1344;6203
1t1q,6205
1t2y,248;6290
1t51,6220
1t52,6219
1t54,6218
1t55,6217
1t5m,6246
1t5q,6245
1tm6,6289
1tmz,4133
1tn9,4165
1tot,6238
1tur,42
1tus,44
1tv0,6264
1u0i,6260
1u2u,6301
1u7j,6303
1u7m,6302
1uao,5694
1ugl,5848
1ujl,5922
1ul2,5985
1unc,5964;5965
1und,5966
1uua,262
1uuc,6110
1v28,5986
1v46,6006
1v4z,6017
1v50,6018
1v6r,6070
1v92,5876
1vd7,6156
1vd8,6157
1vd9,6154
1vda,6155
1vdb,6156
1vdi,10012
1vdj,9500
1vex,10002
1vgh,5238
1vj6,5131;6060
1vkt,1760
1vpc,4257
1w1n,6228
1wa7,6261;6456
1wnk,6154;6296
